CustomerID,Title,CreditCardType,Occupation,Gender,Age,Location,MotorInsurance,MotorValue,MotorType,HealthInsurance,HealthType,HealthDependentsAdults,HealthDependentsKids,TravelInsurance,TravelType,CardHolder,Married,AgeBuckets,MotorValueBuckets,MotorFlag,MotorLevel,HealthFlag,HealthLevel,TravelFlag,TravelLevel,Instances,customerValue,SalaryIndicator,FamilyIndicator,cluster,PrefChannel,Group
1265,Mrs.,AMEX,NA,female,50,Rural,No,NA,No MotorInsurance,No,0,No HI,No HI,No,0,Yes,Yes,36-50,0,0,0,0,0,0,0,0,0,noClue,No Health Insurance,Ready Rurals,Phone,control
478,Ms.,AMEX,Osteopathic surgeon,female,54,Rural,Yes,8981,Single,Yes,Level2,0,2,Yes,Business,Yes,No,>50,low,1,1,1,2,1,3,3,6,med,nuclear family,Ready Rurals,Phone,control
4048,Ms.,Visa,NA,female,44,Rural,Yes,16735,Single,Yes,Level2,1,2,Yes,Standard,Yes,No,36-50,medium,1,2,1,2,1,2,3,6,med,Big family,Ready Rurals,Phone,control
146,Mr.,Visa,Prosecutor,male,47,Rural,No,NA,No MotorInsurance,Yes,Level2,1,2,No,0,Yes,Yes,36-50,0,0,0,1,2,0,0,1,2,low,Big family,Ready Rurals,Phone,control
5176,Mrs.,Visa,NA,female,51,Urban,Yes,10999,Single,Yes,Level1,0,3,Yes,Standard,Yes,Yes,>50,low,1,1,1,1,1,2,3,4,med,Big family,Ready Rurals,Phone,control
323,Mrs.,Visa,Automotive air-conditioning repairer,female,52,Rural,Yes,16814,Single,Yes,Level2,1,2,No,0,Yes,Yes,>50,medium,1,2,1,2,0,0,2,4,med,Big family,Ready Rurals,Phone,control
4158,Mr.,No Card,Shoe and leather repairer,male,41,Urban,No,NA,No MotorInsurance,Yes,Level2,1,3,Yes,Standard,No,Yes,36-50,0,0,0,1,2,1,2,2,4,med,Big family,Ready Rurals,Email,control
828,Mr.,Visa,Land surveyor,male,49,Urban,No,NA,No MotorInsurance,Yes,Level2,1,2,No,0,Yes,Yes,36-50,0,0,0,1,2,0,0,1,2,low,Big family,Ready Rurals,Phone,control
5034,Mrs.,No Card,Archaeologist,female,48,Rural,Yes,11816,Single,No,0,No HI,No HI,No,0,No,Yes,36-50,low,1,1,0,0,0,0,1,1,low,No Health Insurance,Ready Rurals,Phone,control
4862,Dr.,Visa,NA,male,74,Rural,No,NA,No MotorInsurance,Yes,Level3,1,0,Yes,Business,Yes,No,>50,0,0,0,1,3,1,3,2,6,med,nuclear family,Ready Rurals,Phone,control
1440,Ms.,AMEX,NA,female,49,Rural,Yes,16633,Single,Yes,Level2,2,2,No,0,Yes,No,36-50,medium,1,2,1,2,0,0,2,4,med,Big family,Ready Rurals,Phone,control
1748,Mrs.,No Card,NA,female,43,Urban,Yes,8924,Single,No,0,No HI,No HI,No,0,No,Yes,36-50,low,1,1,0,0,0,0,1,1,low,No Health Insurance,Ready Rurals,Phone,control
1801,Mr.,Visa,Scientific photographer,male,50,Rural,No,NA,No MotorInsurance,Yes,Level2,0,2,No,0,Yes,Yes,36-50,0,0,0,1,2,0,0,1,2,low,nuclear family,Ready Rurals,Phone,control
453,Mr.,Visa,Student affairs administrator,male,41,Rural,Yes,16547,Single,No,0,No HI,No HI,No,0,Yes,No,36-50,medium,1,2,0,0,0,0,1,2,low,No Health Insurance,Ready Rurals,Phone,control
1542,Mr.,AMEX,Store detective,male,71,Rural,No,NA,No MotorInsurance,Yes,Level3,0,0,Yes,Premium,Yes,No,>50,0,0,0,1,3,1,3,2,6,med,single,Ready Rurals,Phone,control
4177,Ms.,Visa,NA,female,51,Urban,Yes,12393,Bundle,No,0,No HI,No HI,No,0,Yes,No,>50,low,1,1,0,0,0,0,1,1,low,No Health Insurance,Ready Rurals,Phone,control
569,Mr.,AMEX,Government auditor,male,49,Rural,Yes,13328,Single,Yes,Level1,1,2,No,0,Yes,Yes,36-50,low,1,1,1,1,0,0,2,2,low,Big family,Ready Rurals,Phone,control
4299,Mr.,Visa,NA,male,47,Rural,Yes,16318,Single,Yes,Level1,0,2,Yes,Standard,Yes,Yes,36-50,medium,1,2,1,1,1,2,3,5,med,nuclear family,Ready Rurals,Phone,control
124,Mrs.,AMEX,Bindery machine setter,female,20,Urban,Yes,30601,Bundle,No,0,No HI,No HI,No,0,Yes,Yes,<=35,medium,1,2,0,0,0,0,1,2,low,No Health Insurance,Millineum Potentials,Email,control
56,Mr.,AMEX,Licensed clinical social worker,male,24,Rural,Yes,28073,Bundle,No,0,No HI,No HI,Yes,Premium,Yes,No,<=35,medium,1,2,0,0,1,3,2,5,med,No Health Insurance,Millineum Potentials,Email,control
4370,Mrs.,AMEX,Recreational vehicle service technician,female,21,Urban,No,NA,No MotorInsurance,No,0,No HI,No HI,Yes,Backpacker,Yes,Yes,<=35,0,0,0,0,0,1,1,1,1,low,No Health Insurance,Millineum Potentials,SMS,control
4694,Mr.,No Card,Content editor,male,20,Urban,Yes,20870,Bundle,No,0,No HI,No HI,Yes,Premium,No,No,<=35,medium,1,2,0,0,1,3,2,5,med,No Health Insurance,Millineum Potentials,Email,control
3461,Mrs.,AMEX,NA,female,21,Urban,Yes,26574,Bundle,Yes,Level3,0,0,Yes,Standard,Yes,Yes,<=35,medium,1,2,1,3,1,2,3,7,high,single,Millineum Potentials,Email,control
2702,Mrs.,Visa,NA,female,18,Rural,Yes,25961,Bundle,No,0,No HI,No HI,Yes,Premium,Yes,Yes,<=35,medium,1,2,0,0,1,3,2,5,med,No Health Insurance,Millineum Potentials,Email,control
2698,Mrs.,AMEX,NA,female,20,Urban,Yes,20670,Bundle,Yes,Level1,0,0,Yes,Premium,Yes,Yes,<=35,medium,1,2,1,1,1,3,3,6,med,single,Millineum Potentials,Email,control
3094,Mrs.,Visa,Microbiologist,female,20,Rural,Yes,27882,Bundle,No,0,No HI,No HI,Yes,Premium,Yes,Yes,<=35,medium,1,2,0,0,1,3,2,5,med,No Health Insurance,Millineum Potentials,Email,control
1574,Ms.,Visa,Custom inspector,female,23,Urban,No,NA,No MotorInsurance,No,0,No HI,No HI,No,0,Yes,No,<=35,0,0,0,0,0,0,0,0,0,noClue,No Health Insurance,Millineum Potentials,SMS,control
801,Mrs.,No Card,NA,female,23,Urban,No,NA,No MotorInsurance,No,0,No HI,No HI,Yes,Premium,No,Yes,<=35,0,0,0,0,0,1,3,1,3,low,No Health Insurance,Millineum Potentials,SMS,control
4325,Mr.,Visa,Purchasing agent,male,18,Urban,No,NA,No MotorInsurance,No,0,No HI,No HI,Yes,Standard,Yes,No,<=35,0,0,0,0,0,1,2,1,2,low,No Health Insurance,Millineum Potentials,SMS,control
883,Mr.,Visa,NA,male,18,Urban,Yes,5005.8,Bundle,Yes,Level1,0,0,Yes,Standard,Yes,No,<=35,low,1,1,1,1,1,2,3,4,med,single,Millineum Potentials,SMS,control
252,Mrs.,Visa,Administrator,female,20,Rural,Yes,31022,Bundle,No,0,No HI,No HI,Yes,Backpacker,Yes,Yes,<=35,medium,1,2,0,0,1,1,2,3,low,No Health Insurance,Millineum Potentials,Email,control
4405,Mr.,Visa,Server,male,22,Rural,Yes,20739,Single,No,0,No HI,No HI,Yes,Premium,Yes,No,<=35,medium,1,2,0,0,1,3,2,5,med,No Health Insurance,Millineum Potentials,Email,control
3520,Mrs.,Visa,Endodontist,female,19,Urban,Yes,33261,Bundle,Yes,Level3,0,0,Yes,Backpacker,Yes,Yes,<=35,high,1,3,1,3,1,1,3,7,high,single,Millineum Potentials,Email,control
3640,Mrs.,Visa,NA,female,20,Rural,Yes,18436,Bundle,No,0,No HI,No HI,Yes,Backpacker,Yes,Yes,<=35,medium,1,2,0,0,1,1,2,3,low,No Health Insurance,Millineum Potentials,Email,control
2948,Ms.,AMEX,NA,female,55,Rural,Yes,17450,Single,No,0,No HI,No HI,Yes,Premium,Yes,No,>50,medium,1,2,0,0,1,3,2,5,med,No Health Insurance,Titan Customers,Phone,control
373,Mr.,No Card,Information processing worker,male,49,Urban,Yes,29683,Single,Yes,Level1,0,3,Yes,Business,No,Yes,36-50,medium,1,2,1,1,1,3,3,6,med,Big family,Titan Customers,Email,control
4886,Ms.,Visa,Personal and home care aide,female,50,Urban,Yes,30143,Single,No,0,No HI,No HI,Yes,Standard,Yes,No,36-50,medium,1,2,0,0,1,2,2,4,med,No Health Insurance,Titan Customers,Email,control
2992,Ms.,AMEX,Revenue officer,female,42,Urban,Yes,30928,Single,Yes,Level3,1,2,No,0,Yes,No,36-50,medium,1,2,1,3,0,0,2,5,med,Big family,Titan Customers,Email,control
