"CustomerID","Title","CreditCardType","Occupation","Gender","Age","Location","MotorInsurance","MotorValue","MotorType","HealthInsurance","HealthType","HealthDependentsAdults","HealthDependentsKids","TravelInsurance","TravelType","PrefChannel","CardHolder","Married","AgeBuckets","MotorValueBuckets","MotorFlag","MotorLevel","HealthFlag","HealthLevel","TravelFlag","TravelLevel","Instances","customerValue","SalaryIndicator","FamilyIndicator","cluster"
1,"Mrs.","AMEX","Clinical laboratory technologist","female",23,"Urban","No",NA,"No MotorInsurance","No","0","No HI","No HI","Yes","Premium","SMS","Yes","Yes","<=35","0",0,0,0,0,1,3,1,3,"low","No Health Insurance",2
2,"Ms.","AMEX",NA,"female",44,"Urban","No",NA,"No MotorInsurance","Yes","Level1","2","3","No","0","Phone","Yes","No","36-50","0",0,0,1,1,0,0,1,1,"low","Big family",1
4,"Ms.","AMEX","Sheriff","female",19,"Urban","Yes",4975,"Bundle","No","0","No HI","No HI","No","0","SMS","Yes","No","<=35","low",1,1,0,0,0,0,1,1,"low","No Health Insurance",2
5,"Mr.","Visa","Automotive painter","male",47,"Rural","Yes",14994,"Single","Yes","Level1","1","2","Yes","Business","Phone","Yes","Yes","36-50","medium",1,2,1,1,1,3,3,6,"med","Big family",1
11,"Mrs.","Visa","Risk manager","female",54,"Rural","Yes",14605,"Single","Yes","Level2","2","3","No","0","Email","Yes","Yes",">50","low",1,1,1,2,0,0,2,3,"low","Big family",1
13,"Mr.","AMEX","Building cleaning worker","male",49,"Rural","Yes",32115,"Single","Yes","Level1","1","2","Yes","Premium","Email","Yes","Yes","36-50","medium",1,2,1,1,1,3,3,6,"med","Big family",3
14,"Mr.","Visa","Farm and home management advisor","male",19,"Rural","Yes",29409,"Bundle","No","0","No HI","No HI","Yes","Business","Email","Yes","No","<=35","medium",1,2,0,0,1,3,2,5,"med","No Health Insurance",2
16,"Mr.","AMEX","Recreation supervisor","male",68,"Rural","Yes",38256,"Bundle","Yes","Level3","0","0","No","0","Phone","Yes","No",">50","high",1,3,1,3,0,0,2,6,"med","single",3
17,"Ms.","Visa","Computer systems analyst","female",20,"Urban","Yes",26503,"Single","Yes","Level2","0","0","No","0","Email","Yes","No","<=35","medium",1,2,1,2,0,0,2,4,"med","single",2
18,"Mr.","AMEX","Fire inspector","male",49,"Urban","Yes",23666,"Single","Yes","Level2","2","2","No","0","Email","Yes","Yes","36-50","medium",1,2,1,2,0,0,2,4,"med","Big family",3
19,"Mr.","No Card","Farm and home management advisor","male",49,"Rural","Yes",13498,"Single","Yes","Level3","1","2","Yes","Standard","Phone","No","Yes","36-50","low",1,1,1,3,1,2,3,6,"med","Big family",1
20,"Mr.","No Card","Electronics repairer","male",68,"Rural","Yes",29438,"Single","Yes","Level2","1","0","No","0","Phone","No","No",">50","medium",1,2,1,2,0,0,2,4,"med","nuclear family",3
21,"Ms.","AMEX",NA,"female",47,"Urban","Yes",38256,"Single","Yes","Level2","1","3","No","0","Email","Yes","No","36-50","high",1,3,1,2,0,0,2,5,"med","Big family",3
22,"Mr.","AMEX",NA,"male",46,"Urban","Yes",13494,"Single","No","0","No HI","No HI","No","0","SMS","Yes","No","36-50","low",1,1,0,0,0,0,1,1,"low","No Health Insurance",1
23,"Ms.","AMEX","Letterpress setter","female",42,"Urban","Yes",38256,"Single","Yes","Level2","0","2","Yes","Business","Email","Yes","No","36-50","high",1,3,1,2,1,3,3,8,"high","nuclear family",3
24,"Ms.","Visa",NA,"female",61,"Rural","Yes",27440,"Single","Yes","Level2","0","0","No","0","Phone","Yes","No",">50","medium",1,2,1,2,0,0,2,4,"med","single",3
26,"Ms.","AMEX",NA,"female",51,"Urban","Yes",32452,"Single","No","0","No HI","No HI","No","0","Email","Yes","No",">50","high",1,3,0,0,0,0,1,3,"low","No Health Insurance",3
27,"Mr.","AMEX","Manager","male",19,"Rural","Yes",22356,"Bundle","No","0","No HI","No HI","No","0","SMS","Yes","No","<=35","medium",1,2,0,0,0,0,1,2,"low","No Health Insurance",2
28,"Mr.","Visa","Environmental meteorologist","male",18,"Urban","Yes",28563,"Bundle","No","0","No HI","No HI","Yes","Business","Email","Yes","No","<=35","medium",1,2,0,0,1,3,2,5,"med","No Health Insurance",2
29,"Mr.","AMEX","Personnel analyst","male",50,"Rural","Yes",12508,"Single","Yes","Level1","0","3","No","0","Phone","Yes","Yes","36-50","low",1,1,1,1,0,0,2,2,"low","Big family",1
30,"Mr.","Visa",NA,"male",44,"Rural","Yes",30203,"Single","Yes","Level3","1","3","No","0","SMS","Yes","Yes","36-50","medium",1,2,1,3,0,0,2,5,"med","Big family",3
31,"Ms.","AMEX","Occupational health nurse","female",49,"Urban","Yes",35967,"Single","No","0","No HI","No HI","Yes","Business","Email","Yes","No","36-50","high",1,3,0,0,1,3,2,6,"med","No Health Insurance",3
32,"Mr.","Visa","Systems administrator","male",51,"Urban","Yes",35634,"Single","No","0","No HI","No HI","Yes","Business","Email","Yes","No",">50","high",1,3,0,0,1,3,2,6,"med","No Health Insurance",3
